experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_178,24,0.9432493701505741,0.936734693877551,0.17507805954664946,34,9.440380096435547,0.27765823813045726,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,128,0.0
unified_grid,config_127,33,0.944901277690401,0.936734693877551,0.16851489912838705,43,41.76727080345154,0.9713318791500357,"[128, 64]",relu,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_45,23,0.945005301207429,0.936734693877551,0.16820721328258514,33,18.41535711288452,0.5580411246328643,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0
unified_grid,config_19,31,0.9434144075319105,0.936734693877551,0.16832949128001928,41,21.86517095565796,0.5332968525770234,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0001
unified_grid,config_28,12,0.9454804188201049,0.936734693877551,0.1665042508393526,22,11.868603229522705,0.5394819649783048,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0005
unified_grid,config_52,99,0.9446948584203173,0.936734693877551,0.19107116013765335,100,23.857070922851562,0.23857070922851562,[8],relu,0.0,False,adam,0.0005,100,128,0.0
unified_grid,config_105,20,0.9452596122849652,0.936734693877551,0.16681786278082478,30,31.145602226257324,1.038186740875244,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,32,0.0
unified_grid,config_120,35,0.943108642698587,0.936734693877551,0.1756355157122016,45,13.444245100021362,0.2987610022226969,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,128,0.0
unified_grid,config_65,82,0.9425416409862484,0.936734693877551,0.19627466509419103,92,82.9457950592041,0.9015847289043925,[8],relu,0.2,False,adamw,0.001,100,32,0.0
unified_grid,config_154,51,0.9445511346791385,0.936734693877551,0.17624451965093613,61,14.874473094940186,0.24384382122852763,[32],tanh,0.0,False,rmsprop,0.001,100,128,0.0
