experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_64,73,0.9418261899494492,0.9346938775510204,0.1740700425580144,83,20.819633960723877,0.2508389633822154,[64],relu,0.2,False,adam,0.0005,100,128
full_grid,config_58,37,0.9411490268130008,0.9346938775510204,0.17094612400978804,47,11.323680639266968,0.24092937530355252,[64],relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_89,44,0.9428617901166587,0.9346938775510204,0.1689066931965851,54,47.02481484413147,0.8708299045209531,[64],tanh,0.2,False,adamw,0.001,100,32
full_grid,config_57,21,0.9431393653645109,0.9346938775510204,0.17245761809810514,31,25.660293102264404,0.827751390395626,[64],relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_52,56,0.9415621486686374,0.9346938775510204,0.1755238426849246,66,16.108912706375122,0.2440744349450776,[64],relu,0.0,False,adam,0.0005,100,128
full_grid,config_51,46,0.943226322163077,0.9346938775510204,0.17166237593177827,56,45.458261013031006,0.8117546609469822,[64],relu,0.0,False,adam,0.0005,100,32
full_grid,config_48,67,0.9410895445679611,0.9346938775510204,0.18157079629600048,77,18.242056846618652,0.23690982917686562,[32],tanh,0.2,False,rmsprop,0.0005,100,128
full_grid,config_42,48,0.9423972015657197,0.9346938775510204,0.1773974560201168,58,14.52342700958252,0.2504039139583193,[32],tanh,0.2,False,adamw,0.001,100,128
full_grid,config_40,97,0.9411207171349495,0.9346938775510204,0.18014064989984035,100,23.35970401763916,0.2335970401763916,[32],tanh,0.2,False,adam,0.0005,100,128
full_grid,config_86,60,0.9426801510578721,0.9346938775510204,0.17561103776097298,70,17.203284978866577,0.24576121398380824,[64],tanh,0.2,False,adam,0.001,100,128
full_grid,config_39,50,0.9402945066804725,0.9346938775510204,0.17596628504895395,60,49.956026792526245,0.8326004465421041,[32],tanh,0.2,False,adam,0.0005,100,32
full_grid,config_115,24,0.9428142753123216,0.9346938775510204,0.1731485731659397,34,34.54223918914795,1.0159482114455278,"[64, 32]",relu,0.2,False,adamw,0.0005,100,32
full_grid,config_3,55,0.9427557350265446,0.9346938775510204,0.1705847204092049,65,53.275554895401,0.8196239214677077,[32],relu,0.0,False,adam,0.0005,100,32
