experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_59,44,0.9462653588493827,0.936734693877551,54,38.78422474861145,0.7182263842335453,[64],relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_137,16,0.9462222502906915,0.9408163265306122,26,24.951075077056885,0.9596567337329571,"[64, 32]",tanh,0.2,False,adamw,0.001,100,32
full_grid,config_69,27,0.9461681496905682,0.9387755102040817,37,26.837783098220825,0.7253454891411034,[64],relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_120,35,0.9461140990433216,0.939795918367347,45,11.041569948196411,0.24536822107103134,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,128
full_grid,config_167,13,0.9461001075563692,0.939795918367347,23,21.559875965118408,0.9373859115268873,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_110,24,0.9460869473685432,0.9387755102040817,34,10.183313131332397,0.2995092097450705,"[64, 32]",relu,0.2,False,adam,0.001,100,128
full_grid,config_176,14,0.946057600924439,0.9408163265306122,24,7.580518960952759,0.31585495670636493,"[128, 64]",tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_115,20,0.9460097630090096,0.9387755102040817,30,28.712148904800415,0.9570716301600138,"[64, 32]",relu,0.2,False,adamw,0.0005,100,32
full_grid,config_73,17,0.9459258456411412,0.9408163265306122,27,19.70202898979187,0.7297047773996989,[64],tanh,0.0,False,adam,0.001,100,32
full_grid,config_189,13,0.9459097624017575,0.939795918367347,23,22.36988401412964,0.9726036527882451,"[128, 64]",tanh,0.2,False,rmsprop,0.001,100,32
full_grid,config_178,12,0.9458988580436315,0.9387755102040817,22,7.029851913452148,0.319538723338734,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,128
full_grid,config_141,11,0.9458632497722216,0.9418367346938775,21,19.38189435005188,0.9229473500024705,"[64, 32]",tanh,0.2,False,rmsprop,0.001,100,32
full_grid,config_1,15,0.9457706953834937,0.9377551020408164,25,20.075023889541626,0.8030009555816651,[32],relu,0.0,False,adam,0.001,100,32
full_grid,config_113,13,0.9457121085143745,0.9377551020408164,23,22.766658067703247,0.9898546985957933,"[64, 32]",relu,0.2,False,adamw,0.001,100,32
full_grid,config_5,33,0.9457041672462355,0.9387755102040817,43,31.77122473716736,0.7388656915620316,[32],relu,0.0,False,adamw,0.001,100,32
full_grid,config_19,44,0.9456660992066503,0.9387755102040817,54,41.472354888916016,0.7680065720169632,[32],relu,0.2,False,adamw,0.0005,100,32
full_grid,config_37,31,0.9456463524052803,0.9377551020408164,41,33.81560707092285,0.82477090416885,[32],tanh,0.2,False,adam,0.001,100,32
full_grid,config_155,7,0.9455403371902129,0.9377551020408164,17,15.883486032485962,0.9343227077932919,"[128, 64]",relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_139,13,0.9454844908800589,0.939795918367347,23,21.093820810317993,0.9171226439268693,"[64, 32]",tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_66,40,0.9454788027792913,0.9387755102040817,50,11.204270124435425,0.2240854024887085,[64],relu,0.2,False,adamw,0.001,100,128
full_grid,config_168,23,0.9452705456058956,0.936734693877551,33,9.37772274017334,0.2841734163688891,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,128
full_grid,config_153,10,0.945236769196807,0.9377551020408164,20,18.507675886154175,0.9253837943077088,"[128, 64]",relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_21,24,0.945220657388484,0.9377551020408164,34,26.39997386932373,0.776469819685992,[32],relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_98,33,0.9451661831711612,0.9357142857142857,43,13.34948205947876,0.31045307115066884,"[64, 32]",relu,0.0,False,adam,0.001,100,128
full_grid,config_70,29,0.9450217886909567,0.9387755102040817,39,8.879363059997559,0.2276759758973733,[64],relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_50,33,0.9448930626781245,0.936734693877551,43,10.795883893966675,0.2510670673015506,[64],relu,0.0,False,adam,0.001,100,128
full_grid,config_55,25,0.9448930626781245,0.936734693877551,35,25.3666889667511,0.7247625419071743,[64],relu,0.0,False,adamw,0.0005,100,32
